producer,category,year,claim_text,number_pct,denom_class,method,url,access_date
Science Feedback (SIMODS),factcheck,2025,"[R2 Instagram/misinformation] Instagram has a prevalence of about 8% [6.5%, 9.2%].",7.7,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 LinkedIn/misinformation] LinkedIn has the lowest prevalence of mis/disinformation at around 1% [0.5%, 1.5%], suggesting that exposure to misinformation on this platform is limited.",1.0,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,"View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics (Russia-Ukraine war,  climate cha",https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 TikTok/problematic_content] TikTok appears as the platform with the highest prevalence of Problematic content, with prevalence values of 43% [40.6%, 45.9%], which means that roughly two out of five of the posts on TikTok",43.2,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 Facebook/problematic_content] Facebook and X/Twitter take the next two spots, with a prevalence of about 34% [31.5%, 35.9%] and 32% [29.7%, 33.9%]",33.6,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 X/Twitter/problematic_content] Facebook and X/Twitter take the next two spots, with a prevalence of about 34% [31.5%, 35.9%] and 32% [29.7%, 33.9%]",31.8,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 YouTube/problematic_content] YouTube ranks fourth at 27% [24.9%, 29.2%], followed by Instagram at 16% [14.4%, 17.9%].",27.0,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 Instagram/problematic_content] YouTube ranks fourth at 27% [24.9%, 29.2%], followed by Instagram at 16% [14.4%, 17.9%].",16.2,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 LinkedIn/problematic_content] LinkedIn reports the lowest prevalence at 4% [3.1%, 5.2%], indicating a comparatively safer information environment",4.1,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,View-weighted random sample of posts retrieved by keyword search on 5 high-risk topics across 4 EU countries; weighted b,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 all/health_share] When considering all posts labelled Mis/disinformation, the topic with the highest share is health, representing 42.8% (Figure 2.4).",42.8,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,Among posts labelled Mis/disinformation drawn from view-weighted sample on 5 high-risk topics across 4 EU countries -- N,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,[R2 TikTok/ai_marked] AI-generated content accounts for approximately one quarter of all identified mis/disinformation on TikTok (24%) and approximately one fifth on YouTube (19%).,24.0,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,Among posts labelled Mis/disinformation drawn from view-weighted sample on 5 high-risk topics across 4 EU countries -- N,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,[R2 YouTube/ai_marked] AI-generated content accounts for approximately one quarter of all identified mis/disinformation on TikTok (24%) and approximately one fifth on YouTube (19%).,19.0,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,Among posts labelled Mis/disinformation drawn from view-weighted sample on 5 high-risk topics across 4 EU countries -- N,https://science.feedback.org/simods/,2026-06-25
Science Feedback (SIMODS),factcheck,2025,"[R2 all/ai_marked] across all platforms, only 16.5% of AI-generated mis/disinformation was visibly marked as synthetic.",16.5,TOPICAL_KEYWORD_EXPOSURE_WEIGHTED,Among AI-generated mis/disinformation posts drawn from view-weighted sample on 5 high-risk topics across 4 EU countries ,https://science.feedback.org/simods/,2026-06-25
